Episode Length,Total Reward
22,-0.07812650315463543
19,-0.08109499840065837
27,-0.07318899873644114
47,-0.053563996916636825
27,-0.07318899873644114
137,0.03227350581437349
19,-0.08109499840065837
42,-0.05845150095410645
31,-0.06924800272099674
26,-0.0741754996124655
17,-0.0830765002174303
45,-0.055517498520202935
57,-0.04382649582112208
27,-0.07318899873644114
19,-0.08109499840065837
24,-0.07615000137593597
19,-0.08109499840065837
14,-0.08605250273831189
21,-0.07911550404969603
16,-0.08406800113152713
17,-0.0830765002174303
77,-0.024501501000486314
33,-0.06728050101082772
20,-0.08010499749798328
38,-0.062370496802031994
23,-0.07713800226338208
11,-0.08903299772646278
20,-0.08010499749798328
14,-0.08605250273831189
19,-0.08109499840065837
62,-0.038976498937699944
36,-0.06433299847412854
25,-0.07516250049229711
16,-0.08406800113152713
16,-0.08406800113152713
30,-0.07023250358179212
16,-0.08406800113152713
24,-0.07615000137593597
36,-0.06433299847412854
25,-0.07516250049229711
39,-0.061390003422275186
6,-0.0940105018671602
22,-0.07812650315463543
21,-0.07911550404969603
27,-0.07318899873644114
140,0.035065000934991986
21,-0.07911550404969603
30,-0.07023250358179212
25,-0.07516250049229711
21,-0.07911550404969603
22,-0.07812650315463543
30,-0.07023250358179212
17,-0.0830765002174303
16,-0.08406800113152713
20,-0.08010499749798328
23,-0.07713800226338208
25,-0.07516250049229711
33,-0.06728050101082772
48,-0.05258799606235698
27,-0.07318899873644114
36,-0.06433299847412854
19,-0.08109499840065837
29,-0.07121749699581414
20,-0.08010499749798328
132,0.027611001452896744
20,-0.08010499749798328
38,-0.062370496802031994
49,-0.051612502662464976
17,-0.0830765002174303
31,-0.06924800272099674
51,-0.04966300097294152
66,-0.0351054955390282
18,-0.08208549930714071
25,-0.07516250049229711
24,-0.07615000137593597
44,-0.05649499932769686
28,-0.07220299786422402
43,-0.05747300013899803
14,-0.08605250273831189
91,-0.011092996399383992
11,-0.08903299772646278
29,-0.07121749699581414
18,-0.08208549930714071
22,-0.07812650315463543
27,-0.07318899873644114
16,-0.08406800113152713
209,0.09802750800736248
16,-0.08406800113152713
35,-0.06531499931588769
59,-0.041885001526679844
45,-0.055517498520202935
37,-0.06335149763617665
5,-0.09500750270672143
26,-0.0741754996124655
24,-0.07615000137593597
21,-0.07911550404969603
31,-0.06924800272099674
18,-0.08208549930714071
22,-0.07812650315463543
25,-0.07516250049229711
29,-0.07121749699581414
91,-0.011092996399383992
18,-0.08208549930714071
31,-0.06924800272099674
27,-0.07318899873644114
55,-0.0457699975813739
42,-0.05845150095410645
40,-0.06041000259574503
49,-0.051612502662464976
22,-0.07812650315463543
24,-0.07615000137593597
17,-0.0830765002174303
31,-0.06924800272099674
71,-0.0302779987687245
35,-0.06531499931588769
12,-0.08803900436032563
27,-0.07318899873644114
18,-0.08208549930714071
19,-0.08109499840065837
33,-0.06728050101082772
137,0.03227350581437349
70,-0.031242499651852995
17,-0.0830765002174303
23,-0.07713800226338208
35,-0.06531499931588769
139,1.0341349999071099
27,-0.07318899873644114
55,-0.0457699975813739
32,-0.0682640018640086
98,-0.004425497900228947
21,-0.07911550404969603
8,-0.0920180001994595
37,-0.06335149763617665
48,-0.05258799606235698
6,-0.0940105018671602
32,-0.0682640018640086
18,-0.08208549930714071
11,-0.08903299772646278
58,-0.04285550239728764
82,-0.019701496756169945
151,0.04526200296822935
36,-0.06433299847412854
80,-0.021619998442474753
76,-0.025463001860771328
19,-0.08109499840065837
79,-0.022579999291338027
24,-0.07615000137593597
11,-0.08903299772646278
37,-0.06335149763617665
23,-0.07713800226338208
26,-0.0741754996124655
20,-0.08010499749798328
116,0.012607002630829811
95,-0.007280000427272171
66,-0.0351054955390282
49,-0.051612502662464976
